phrase,class
see antarctic base 01 nov,2
good,4
nice meet,4
show stuff planet,1
two ticket next month please,0
22 oct,2
six ticket aug 05,0
see antarctic base wednesday,2
visiting museum tuesday part museum see,2
see universe room jul 29,2
running one stake another attached twelve foot leash,3
four ticket thursday,0
like animal,1
sound real good,3
name lindzy,4
wish sentence someone going sentence five year make serve five year,3
easiest way maybe n ' t think ' s monetary thing,3
want buy five ticket sustainable building exhibition,0
four ticket 04 dec,0
' s right absolutely,3
okay well see saw,3
three ticket 23 jul,0
would like go sustainable building exhibition oct 08,0
anyway time spend child,3
' s cold water around,3
instruct - professor,3
love forest,1
see universe room may 24,2
love ecology exhibition go,1
show stuff star,1
see flooded forest next sunday,2
would think know american whatever,3
interesting climate change work,1
believe know lived plano n ' t know familiar plano,3
love sustainability,1
want buy two ticket exhibition climate change,0
would like hear matter,1
would like hear physic,1
ticket flooded forest exhibition,0
exhibition sustainable building,2
think temperature fascinating,1
interesting climate work,1
tell geological wall exhibit,2
interesting science work,1
see antarctic base tuesday,2
know something v show,3
museum open 21 jul,2
four ticket thursday please,0
think plant fascinating,1
want buy one ticket exhibition life,0
six ticket sustainable building exhibition,0
three ticket dec 23,0
think building fascinating,1
want learn gravity exhibition recommend,1
hard time getting folk thought well every - er gone home,3
show exhibit ecology,1
related earth,1
see flooded forest jan 09,2
want learn biodiversity exhibition recommend,1
sun passion mine exhibition caixa museum cover,1
related water,1
exhibition physic,2
' ve work site hunt valley maryland,3
visiting museum month part museum see,2
would like hear life,1
love matter,1
see universe room tuesday,2
good evening,4
like tennis mean ' m n ' t played year like watch know,3
well n ' t know ' ve seen think,3
end n ' t married long know,3
would advise go antarctic base,1
south america fascinates,1
would like go universe room exhibition next month,0
climate interesting,1
museum open 24 sep,2
exhibition photographer,1
show stuff brazil,1
could please get three ticket,0
three ticket 19 aug please,0
museum open wednesday,2
want buy one ticket exhibition earthquake,0
one ticket exhibition universe,0
sort half student half working source income stuff ' m actually managing zero debt,3
mean thing way grow carrot cabbage sort mumblex go waste,3
love think ecosystem,1
show exhibit water,1
kind neat hobby ?,3
like discus water,1
see universe room thursday,2
see sustainable building aug 25,2
nice see,4
would like learn plant,1
love think architecture,1
discussing brazil one favourite thing,1
ticket exhibition plant,0
called tyeshia,4
feel like n ' t people n ' t like flag stand welcome go place else,3
nice see,4
really felt kind cynical n ' t peace ever,3
wa used watch oprah lot afternoon,3
right know ' s bumble bee pattern,3
visiting museum sunday part museum see,2
see universe room 30 sep,2
three ticket next saturday please,0
west colorado spring,3
three ticket next sunday,0
sustainable building,2
told said could tell fifteen minute place go,3
show stuff biodiversity,1
see universe room thursday,2
interesting biodiversity work,1
many call made system ?,3
six ticket next week please,0
exhibition mar,2
well a - economic standpoint pure safety know,3
like discus flooding,1
see universe room 20 apr,2
museum open 27 feb,2
love think animal,1
would like learn rock,1
one ticket saturday please,0
nice see,4
six ticket mar 17 please,0
jacen,4
want buy three ticket exhibition temperature,0
call jenilyn,4
exhibit brain finish,2
would like hear light,1
tough topic,3
called anuja,4
recommend exhibit,1
want learn flooding exhibition recommend,1
discussing river one favourite thing,1
museum open sunday,2
plant interesting,1
honestly well perceived war world wide,3
well year guess,3
six ticket next friday please,0
see cosmocaixa museum,2
stand head want,3
like discus environment,1
saturday,2
love photographer exhibition go,1
want learn earthquake exhibition recommend,1
four ticket apr 11 please,0
love exploration exhibition go,1
could please get five ticket,0
show exhibit animal,1
interesting cosmos work,1
love think erosion,1
go right personnel got form personnel maybe,3
color black to - tongue chow shap - shape shepherd,3
visiting museum next tuesday part museum see,2
would like learn south america,1
want buy two ticket geological wall exhibition,0
show stuff technology,1
show stuff universe,1
love river exhibition go,1
found experience budget time,3
exhibition rock,1
would like hear earth,1
ticket today,0
want buy ticket exhibition mar,0
look like grub,3
would like go geological wall exhibition saturday,0
hi,4
antarctic base exhibit start,2
see antarctic base next monday,2
love architecture,1
love environment exhibition go,1
discussing water one favourite thing,1
interesting water work,1
fact found ' m lot closer one son ' s gone n ' t even know ' s,3
three ticket jul 30 please,0
would understand people live,3
museum open today,2
see flooded forest 27 jul,2
always like musical,3
want buy five ticket flooded forest exhibition,0
want learn technology exhibition recommend,1
certain thing could provide without doctor prescription based qualification,3
two ticket month,0
related amazon,1
know harm whereas sometimes ca n ' t even get kid know,3
much three ticket museum cost ?,0
want buy three ticket exhibition organism,0
five ticket sunday,0
love think moon,1
like discus jungle,1
landscape fascinates,1
would like hear earthquake,1
want buy ticket exhibition temperature,0
mar passion mine exhibition caixa museum cover,1
called dinesh,4
exhibition geological wall,2
thing remember try stay together much,3
visiting museum 06 jan part museum see,2
like discus river,1
exhibit mar finish,2
good night,4
right tell people feel sorriest ' s guy particular one go,3
could please get two ticket,0
museum open thursday,2
like discus space,1
like discus amazon,1
want buy two ticket sustainable building exhibition,0
two ticket 11 aug please,0
hello,4
called chermaine,4
related earthquake,1
see geological wall nov 03,2
get six ticket please,0
one ticket 26 jun,0
whatever whatever amount n ' t want say three month,3
one ticket 12 jul,0
like discus exploration,1
space interesting,1
call dog ?,3
agnieszka,4
would like learn environment,1
new ?,4
next friday,2
exhibit cosmos finish,2
interested physic,1
interesting ecology work,1
going say hi,4
interesting animal work,1
n ' t know little girl n ' t interested lot thing little boy,3
discussing physic one favourite thing,1
school teacher,3
next tuesday,2
see geological wall 14 nov,2
museum open next sunday,2
house main road nothing,3
one ticket 06 sep,0
see flooded forest month,2
ecology fascinates,1
five ticket sunday,0
want learn mar exhibition recommend,1
show stuff rock,1
well still think people choice know live ' s know conscience clear,3
four ticket next week please,0
feb 02,2
visiting museum mar 01 part museum see,2
would like learn photographer,1
pattern behavior mean ?,3
called dimitrios,4
would like go geological wall exhibition apr 16,0
interesting efficiency work,1
want buy five ticket exhibition climate change,0
take big part evening weekend,3
related brazil,1
three ticket 06 jun please,0
good afternoon,4
miss ' m originally texan miss home cooked mexican,3
want buy ticket antarctic base exhibition,0
hearing cricket listening bird,3
five ticket saturday please,0
government full liar thief crook,3
six ticket friday please,0
related space,1
,2
oh ter n ' t talking right fixing dinner,3
see geological wall 05 sep,2
n ' t fancy stuff worry know auto shop ag shop,3
four ticket please,0
call coulter,4
photographer interesting,1
interested universe,1
name jacen,4
see antarctic base 28 oct,2
two ticket oct 03,0
love think sun,1
one ticket next monday please,0
see universe room nov 15,2
four ticket oct 10,0
see universe room sunday,2
think erosion fascinating,1
goin,4
ticket flooded forest exhibition,0
want buy ticket exhibition ecology,0
want buy ticket antarctic base exhibition,0
n ' t think deserve anything le,3
six ticket 13 dec please,0
well little ' m trying get get ready early,3
want buy ticket flooded forest exhibition,0
' s n ' t see anyone afford,3
five ticket mar 03,0
look ?,3
climate passion mine exhibition caixa museum cover,1
love think sustainability,1
would like go flooded forest exhibition nov 24,0
see sustainable building 14 aug,2
looking gray wall know,3
would like go universe room exhibition monday,0
show exhibit climate,1
see flooded forest wednesday,2
call isabela,4
cosmos passion mine exhibition caixa museum cover,1
see sustainable building next tuesday,2
like discus climate change,1
interested sun,1
see universe room jan 17,2
see geological wall tomorrow,2
interesting vulcanos work,1
see antarctic base next wednesday,2
oh one n ' t heard,3
discussing plant one favourite thing,1
love plant exhibition go,1
want buy one ticket flooded forest exhibition,0
exhibition cosmos,1
back like piston calling ?,3
jane,4
want learn exploration exhibition recommend,1
light passion mine exhibition caixa museum cover,1
see universe room may 08,2
see universe room may 13,2
call buford,4
see flooded forest next thursday,2
would like learn river,1
like discus photo,1
ticket wednesday,0
one ticket flooded forest exhibition,0
three ticket next tuesday please,0
want buy six ticket geological wall exhibition,0
see sustainable building oct 10,2
museum open friday,2
discussing erosion one favourite thing,1
think would rather jail,3
want buy one ticket exhibition climate,0
like discus south america,1
negotiation could n ' t resolve,3
show stuff ecology,1
one ticket exhibition photo,0
see sustainable building 16 dec,2
see geological wall wednesday,2
want buy four ticket exhibition gravity,0
little bit splash,3
two ticket apr 30,0
would like hear mar,1
want buy two ticket exhibition building,0
see flooded forest next month,2
eating meat kick,3
like discus brazil,1
related light,1
want buy one ticket exhibition planet,0
enjoyed talking pet,3
forest fascinates,1
get four ticket please,0
hello,4
lucky get paycheck way figure,3
three ticket today please,0
two ticket wednesday,0
would like hear brazil,1
want learn light exhibition recommend,1
ticket exhibition rock,0
many boy room child high school junior,3
would like go sustainable building exhibition thursday,0
exhibit ecosystem finish,2
know take let let old elderly people pet dog,3
hired new nurse really redid know,3
want buy one ticket exhibition universe,0
you ?,4
like said would really lot second thought put family member,3
would like go flooded forest exhibition next month,0
five ticket next month,0
discussing national geographic one favourite thing,1
happens ?,4
see antarctic base jan 08,2
would like go antarctic base exhibition 27 mar,0
u town newspaper,3
think well word,3
think life fascinating,1
see sustainable building oct 05,2
know community oriented,3
love photographer,1
like forest,1
visiting museum wednesday part museum see,2
related forest,1
interesting matter work,1
see sustainable building nov 13,2
organism passion mine exhibition caixa museum cover,1
see antarctic base saturday,2
interesting architecture work,1
greeting,4
ticket exhibition light,0
would like go sustainable building exhibition 07 dec,0
call isaih,4
like discus star,1
' s right careful ' s pretty funny,3
people said work ?,3
exhibition plant,2
two ticket universe room exhibition,0
interesting national geographic work,1
called siaosi,4
think moon fascinating,1
want buy five ticket exhibition amazon,0
would like go flooded forest exhibition 04 dec,0
oh ' s really weird,3
show stuff jungle,1
related physic,1
see sustainable building 21 feb,2
four ticket 03 jul please,0
love brain,1
show stuff physic,1
think would kind interesting,3
happening,4
exhibition river,1
ticket 04 mar please,0
saturday,2
' s true really,3
interested brain,1
brazil interesting,1
would like go sustainable building exhibition jul 19,0
see universe room next saturday,2
ticket sep 23,0
love sun exhibition go,1
museum open 19 oct,2
much four ticket museum cost ?,0
tell something next time go ' s thing know,3
exhibition technology,2
like discus rock,1
interesting earthquake work,1
love universe,1
one ticket nov 02,0
life treating,4
see antarctic base 27 jan,2
big bang interesting,1
called coulter,4
' s true really criminal hard - core,3
nature passion mine exhibition caixa museum cover,1
call jane,4
say hello,4
would like hear jungle,1
camping eating,3
wife agnostic ' m backsliding presbyterian,3
museum open sunday,2
love south america exhibition go,1
related flooding,1
want learn planet exhibition recommend,1
want learn physic exhibition recommend,1
museum open month,2
think science fascinating,1
even somebody making twice making could put half,3
name deric,4
much know,3
erosion fascinates,1
six ticket geological wall exhibition,0
cosmos interesting,1
one ticket sunday please,0
like big bang,1
love flooding,1
see flooded forest jan 20,2
universe room exhibit start,2
want buy ticket exhibition sun,0
three ticket exhibition sun,0
discussing climate change one favourite thing,1
would like hear evolution,1
museum open jan 26,2
would like go universe room exhibition 19 oct,0
mar 21,2
see antarctic base apr 20,2
photographer fascinates,1
see antarctic base 12 jul,2
visiting museum saturday part museum see,2
love flooding exhibition go,1
like evolution,1
track sh -,3
love think matter,1
see flooded forest 24 may,2
hoping something cut,3
four ticket jul 24,0
deep one deep one,3
' ve never heard,3
see antarctic base 13 mar,2
exhibit temperature finish,2
call onika,4
tell antarctic base exhibit,2
think state ?,3
love national geographic,1
would like go flooded forest exhibition jul 19,0
call lindzy,4
started trying cast kind getting ' s,3
one ticket 24 nov please,0
experiment chicken whose artery similar,3
love ecosystem exhibition go,1
see flooded forest 25 feb,2
see sustainable building next weekend,2
called deric,4
love planet,1
two ticket friday,0
getting close twenty think little gift book go n ' t really know,3
two ticket sustainable building exhibition,0
want learn moon exhibition recommend,1
get two ticket please,0
six ticket tomorrow,0
love think science,1
flooded forest exhibit start,2
think vulcanos fascinating,1
earth interesting,1
g morining,4
want learn photo exhibition recommend,1
would like fry,3
see sustainable building aug 07,2
sokhom,4
s - b - freedom speech,3
called jenilyn,4
inability understand multicultural multiracial situation,3
good see,4
four ticket wednesday,0
love architecture exhibition go,1
four ticket friday,0
name ferman,4
would like go flooded forest exhibition weekend,0
see flooded forest tuesday,2
discussing efficiency one favourite thing,1
exhibition building,2
one ticket sunday please,0
' ve received quite,3
would like go antarctic base exhibition tomorrow,0
want buy three ticket exhibition flooding,0
interesting mar work,1
would like learn brazil,1
call ferman,4
anuja,4
love climate change,1
know would something look ' s really neat,3
see geological wall next month,2
think efficiency fascinating,1
love technology,1
name heinz,4
go kid though ?,3
want learn erosion exhibition recommend,1
education interesting,1
six ticket 27 jan,0
see antarctic base next saturday,2
people know grow small town large town,3
said people west said since guess ' s six month,3
' s really shame,3
five ticket dec 06,0
see sustainable building sunday,2
see flooded forest apr 25,2
want buy three ticket exhibition light,0
want learn sustainability exhibition recommend,1
six ticket 17 sep,0
well jean seem opinion,3
exhibition national geographic,1
asked anywhere n ' t go alone,3
love think efficiency,1
mean n ' t seen couple month,3
oh god would exact opposite,3
star interesting,1
encouraged know help course think ' s helping people,3
mean child ' s school job say nine three,3
technology passion mine exhibition caixa museum cover,1
love erosion,1
ticket antarctic base exhibition,0
like jungle,1
see antarctic base 07 mar,2
think photo fascinating,1
unfortunately ' s happens,3
see sustainable building wednesday,2
three ticket friday,0
want buy clothes,3
love climate,1
see geological wall 30 may,2
museum open weekend,2
see antarctic base 22 dec,2
thursday,2
discussing light one favourite thing,1
six ticket feb 05,0
six ticket next weekend please,0
thing going know would love help somebody know,3
show stuff erosion,1
want buy one ticket sustainable building exhibition,0
want buy one ticket exhibition architecture,0
would like learn big bang,1
museum open saturday,2
want get drunk,3
would like learn physic,1
want buy one ticket exhibition life,0
one ticket feb 02 please,0
n ' t know attributed think lot woman working,3
exhibition biodiversity,1
want buy one ticket exhibition physic,0
would like learn matter,1
call dinesh,4
show exhibit gravity,1
see sustainable building saturday,2
interesting planet work,1
see antarctic base monday,2
related technology,1
know want privacy fence,3
jan 24,2
museum open saturday,2
want buy ticket exhibition gravity,0
ticket friday please,0
four ticket 25 sep please,0
would like five ticket please,0
exhibition flooding,1
way prevent family know like basically ' s contraceptive,3
exhibit photographer finish,2
six ticket exhibition rock,0
would like go flooded forest exhibition 08 apr,0
like architecture,1
love sun,1
exhibit light finish,2
three ticket sustainable building exhibition,0
three ticket apr 07 please,0
show exhibit sun,1
n ' t long ?,3
' s pretty weird,3
four ticket next thursday please,0
learn lot way ' s way could could fix every car world know,3
well talked one kuwaiti woman yesterday,3
ticket ?,0
four ticket exhibition temperature,0
high school everyone sort try opinion seems,3
visiting museum feb 11 part museum see,2
everything,4
two ticket 08 dec please,0
shauntay,4
big ' s big thing live one bedroom ' m single,3
see flooded forest jul 30,2
see geological wall apr 06,2
would like learn ecosystem,1
name dinesh,4
discussing flooding one favourite thing,1
ticket 22 apr please,0
exhibition climate change,2
exhibition jungle,1
see universe room friday,2
three ticket aug 17 please,0
see universe room next month,2
see sustainable building sunday,2
interested star,1
show big school since n ' t long ?,3
see geological wall next sunday,2
exhibition photo,2
outside night know,3
five ticket 01 jun please,0
like discus plant,1
climate fascinates,1
like climate change,1
museum open apr 14,2
see geological wall mar 01,2
show stuff education,1
ecosystem interesting,1
could please get ticket,0
one ticket mar 03,0
six ticket today please,0
next sunday,2
four ticket next monday please,0
love gravity,1
think would good experience,3
would like learn mar,1
oh well made fifty,3
sun interesting,1
see antarctic base friday,2
five ticket sustainable building exhibition,0
interested moon,1
six ticket tuesday please,0
would like get one ticket,0
helloo,4
spent couple year plano texas,3
want buy three ticket antarctic base exhibition,0
would like learn organism,1
think climate change fascinating,1
exhibition science,1
visiting museum thursday part museum see,2
ticket mar 26 please,0
high price seven course n ' t usually look,3
four ticket 07 apr please,0
think evolution fascinating,1
want buy six ticket exhibition universe,0
like discus architecture,1
want buy ticket tomorrow,0
' s ' s mustang two barrel carburetor,3
could n ' t hear ?,3
ticket sunday,0
like exploration,1
interested science,1
would like hear national geographic,1
well little routine warm ups,3
show stuff light,1
' s great ' s kid come home n ' t mother,3
still found guilty ?,3
related evolution,1
six ticket 04 may please,0
n ' t n ' t graduate best engineer best english major,3
ticket feb 02 please,0
four ticket geological wall exhibition,0
six ticket aug 27 please,0
building passion mine exhibition caixa museum cover,1
called shawn,4
involved ' s going cost u long run,3
year life much,3
jun 01,2
exhibition matter,1
,4
want buy fruit,3
interested evolution,1
exhibit flooding finish,2
four ticket next friday,0
love evolution,1
see universe room next monday,2
worked antarctic base exhibition,2
two ticket next saturday,0
sanjuana,4
one ticket monday please,0
see antarctic base 28 apr,2
everything ?,4
exhibit jungle finish,2
want buy ticket 10 sep,0
cerebral palsy bad communicate,3
name mao,4
would like hear moon,1
would like hear flooding,1
brain interesting,1
watch cat tear,3
think universe fascinating,1
would like learn biodiversity,1
' s big enough intimidating,3
visiting museum 26 jul part museum see,2
like discus brain,1
good afternoon,4
see flooded forest jul 12,2
museum open next weekend,2
interested rock,1
little thing end,3
' ve twelve year ' m sure ' ve,3
kind hard notice dad n ' t around,3
see antarctic base wednesday,2
exhibition physic,1
two ticket please,0
would like hear climate,1
would like hear building,1
interesting amazon work,1
tell sustainable building exhibition,2
oh okay first person ' ve talked outside texas,3
rock passion mine exhibition caixa museum cover,1
exhibition earthquake,1
like photographer,1
' s funny ' s almost like lot thing available u child,3
part school system ?,3
show stuff river,1
see sustainable building aug 20,2
three ticket month please,0
want buy ticket,0
three ticket antarctic base exhibition,0
like vulcanos,1
interested gravity,1
think one actually,3
ticket 30 nov,0
interested water,1
boaz,4
discussing star one favourite thing,1
show stuff photographer,1
show stuff landscape,1
casimiro,4
discussing earth one favourite thing,1
called isaih,4
go different country see fact saw interview v night patrick swayze,3
one ticket nov 19,0
coulter,4
see universe room week,2
would like ticket,0
visiting museum next week part museum see,2
would like hear river,1
' s like slap finger,3
look restaurant ?,3
want learn rock exhibition recommend,1
museum open next week,2
related landscape,1
visiting museum feb 24 part museum see,2
love temperature,1
would quite happy see national law every student required learn english second language,3
see universe room 23 sep,2
going,4
know ' s like threw eight aircraft said wrong,3
howling,4
name agnieszka,4
rent car get,3
want buy six ticket exhibition photo,0
could please get four ticket,0
interested national geographic,1
one ticket geological wall exhibition,0
see antarctic base jan 16,2
,4
called jane,4
visiting museum next sunday part museum see,2
water interesting,1
would like three ticket please,0
jungle fascinates,1
wednesday,2
good see,4
related matter,1
interesting watch water rise sudden,3
see universe room saturday,2
n ' t mumblex mean always mumblex,3
five ticket oct 15 please,0
friend know high school idea really wanted,3
call dimitrios,4
wha - taking school,3
want go 10 sep ticket day,0
visiting museum aug 20 part museum see,2
mixed inside,3
climate change interesting,1
homework go work part time job,3
life fascinates,1
six ticket 15 may please,0
like discus animal,1
see geological wall next friday,2
want buy one ticket universe room exhibition,0
make ease know knew n ' t going lose job unless really something horrendous,3
think education fascinating,1
well amazingly lot time ' s real easy,3
get five ticket please,0
want buy four ticket exhibition rock,0
love think universe,1
discussing jungle one favourite thing,1
' s exactly trying get,3
museum open 22 aug,2
think planet fascinating,1
' s probably true n ' t hungry n ' t meal went bought,3
cool man ' s really porked guess,3
like earthquake,1
exploration fascinates,1
interesting star work,1
would never love country much symbol mean lot,3
interesting rock work,1
two ticket dec 27 please,0
want buy six ticket flooded forest exhibition,0
see antarctic base next tuesday,2
want learn organism exhibition recommend,1
want buy four ticket antarctic base exhibition,0
would like hear water,1
exhibit climate finish,2
see antarctic base aug 11,2
could get six ticket,0
show stuff water,1
interested animal,1
want buy ticket aug 02,0
wish buy caixa museum ticket,0
would like hear technology,1
interested nature,1
museum open 29 sep,2
ticket dec 17 please,0
see universe room sunday,2
think ?,3
one ticket exhibition matter,0
five ticket exhibition ecology,0
see universe room jun 17,2
said whole idea ' s important changed,3
see universe room monday,2
04 jul,2
would like get ticket,0
love think brazil,1
see antarctic base jan 27,2
six ticket 03 jul please,0
believe would probably tend towards,3
ticket available exhibition architecture,0
good morning,4
love planet exhibition go,1
three ticket monday,0
help decide,1
love think building,1
tha - ' s way alabama,3
south america interesting,1
want learn sun exhibition recommend,1
show exhibit star,1
friday,2
deric,4
' ve sitting alternately reading watching television,3
like discus earth,1
animal passion mine exhibition caixa museum cover,1
usually come away thinking really n ' t like show,3
interested environment,1
looking twenty - two thousand dollar tuition room board,3
interesting building work,1
six ticket sunday,0
love earthquake,1
interesting moon work,1
need six ticket,0
jun 06,2
would like get three ticket,0
five ticket next week,0
think architecture fascinating,1
see universe room weekend,2
see sustainable building may 14,2
four ticket,0
today,2
get job university ' ve got ten year probation,3
started working worked job moved new house quit job inconvenient,3
learn drive tractor,3
would like hear space,1
two ticket,0
like discus erosion,1
ticket 23 oct,0
see sustainable building 30 jun,2
one ticket tuesday,0
five ticket apr 10,0
well anyway sure enjoyed talking although difficult,3
two ticket sunday please,0
love big bang exhibition go,1
went work stuff see every awhile like go workout,3
jenny sweet kid,3
related architecture,1
vulcanos fascinates,1
four ticket nov 23 please,0
well going ask wife work ?,3
related brain,1
discussing nature one favourite thing,1
five ticket antarctic base exhibition,0
interested planet,1
visiting museum 16 jul part museum see,2
believe peace corp knew marry peruvian,3
garden landscaping lawn ?,3
want learn matter exhibition recommend,1
would like get two ticket,0
would advise go geological wall,1
see flooded forest next saturday,2
people inhabiting country people nothing government,3
like universe,1
like flooding,1
would like learn evolution,1
may 06,2
exhibition flooding,2
boy girl last year boy twin started real well,3
think sustainability fascinating,1
want buy six ticket exhibition sustainability,0
,3
like discus landscape,1
next week,2
museum open 18 jan,2
could get ticket,0
one home owner got taxed death,3
visiting museum next wednesday part museum see,2
six ticket next saturday,0
one ticket next weekend,0
know would like make sure job tomorrow first,3
exhibit national geographic finish,2
mean n ' t miss much,3
see sustainable building 26 sep,2
exhibit recommend,1
love erosion exhibition go,1
sustainability interesting,1
love earth,1
would like get five ticket,0
would like hear forest,1
ticket exhibition forest,0
want learn universe exhibition recommend,1
want buy four ticket,0
see geological wall sunday,2
see geological wall 06 sep,2
discussing universe one favourite thing,1
how ' ve,4
exhibition architecture,1
interested temperature,1
want learn landscape exhibition recommend,1
' s great always thought would great twin,3
yes wondering whether favor statehood independence status quo puerto rico,3
typical breed ?,3
think jungle fascinating,1
four ticket next monday,0
plant passion mine exhibition caixa museum cover,1
four ticket month,0
ticket 19 dec please,0
decreasing military spending,3
would like learn earth,1
see flooded forest 05 oct,2
five ticket jul 02,0
interested brazil,1
would probably tear apart,3
see flooded forest next wednesday,2
technology fascinates,1
good day,4
case maybe know,3
space passion mine exhibition caixa museum cover,1
love think photo,1
love education,1
two ticket monday please,0
want buy ticket exhibition temperature,0
love think environment,1
love jungle,1
love organism exhibition go,1
see flooded forest monday,2
visiting museum 19 nov part museum see,2
love life exhibition go,1
' s definitely ready get run around,3
love think water,1
see geological wall saturday,2
know feel like ' ve lived life need share,3
visiting museum 05 apr part museum see,2
show exhibit exploration,1
museum open tomorrow,2
know foreigner,3
see sustainable building 06 may,2
ticket tomorrow please,0
ecosystem passion mine exhibition caixa museum cover,1
five ticket monday,0
would like go geological wall exhibition next wednesday,0
well girl age,3
exhibition space,1
rock passion mine exhibition caixa museum cover,1
visiting museum 16 oct part museum see,2
related animal,1
ticket 09 dec,0
want buy four ticket exhibition space,0
show stuff organism,1
president someday maybe,3
exhibition amazon,2
tell flooded forest exhibit,2
could get three ticket,0
name isaih,4
discussing photo one favourite thing,1
two ticket 19 may,0
would like hear environment,1
mesa verde park like end ju - july fourth,3
industrial marketing,3
technology interesting,1
love star exhibition go,1
want buy six ticket sustainable building exhibition,0
see geological wall dec 03,2
related rock,1
would like six ticket,0
six ticket sep 05,0
museum,2
name shauntay,4
would like learn gravity,1
' s like bee insect,3
three ticket 08 dec please,0
education fascinates,1
want go 14 jul ticket day,0
exhibition mar,1
show exhibit landscape,1
see geological wall week,2
righty think russia ' s still threat ?,3
ticket available exhibition cosmos,0
would like go sustainable building exhibition 04 apr,0
monday,2
science fascinates,1
love gravity exhibition go,1
see flooded forest weekend,2
home would read play,3
love moon,1
want go next weekend ticket day,0
show exhibit south america,1
love photo exhibition go,1
interested river,1
want go tuesday ticket day,0
interesting education work,1
call heinz,4
tuesday,2
sort run thirty foot cable,3
well first amendment definitely say freedom speech,3
interesting space work,1
purchase ticket,0
interesting light work,1
think anybody work kind service community something,3
want learn climate change exhibition recommend,1
love think evolution,1
know worked full - time job part - time job,3
like discus physic,1
think would would know economic benefit know everyone concerned,3
help me ?,4
see sustainable building 26 apr,2
okay nothing missing,3
new,4
interesting life work,1
ticket exhibition landscape,0
n ' t know sir seems like trying get every way,3
would like hear gravity,1
thing gave guy power material told go know,3
geological wall exhibit start,2
see antarctic base week,2
visiting museum friday part museum see,2
see geological wall nov 18,2
' ve heard ' s pretty cool,3
related big bang,1
six ticket 04 oct,0
one ticket antarctic base exhibition,0
see antarctic base next sunday,2
week,2
like mar,1
would like four ticket please,0
love brazil exhibition go,1
difference,3
' s little,3
interested organism,1
national geographic passion mine exhibition caixa museum cover,1
love think temperature,1
ticket sustainable building exhibition,0
interesting brain work,1
still would hate jury sentenced someone,3
visiting museum weekend part museum see,2
' s intelligent dog ' ve ever seen course ' m little prejudiced course,3
isabela,4
heinz,4
love rock,1
show stuff vulcanos,1
would like hear photographer,1
see geological wall apr 19,2
interested plant,1
discussing photographer one favourite thing,1
two ticket next month,0
yes seminar every,3
show exhibit ecosystem,1
like temperature,1
big bang passion mine exhibition caixa museum cover,1
museum open 03 may,2
show exhibit erosion,1
interested ecology,1
call sokhom,4
buford,4
see ' s female say well carry purse pat say carry fanny pack,3
love think star,1
six ticket saturday,0
one ticket next sunday,0
visiting museum 03 aug part museum see,2
gravity fascinates,1
always wonder someone repair little thing like,3
see flooded forest 28 oct,2
five ticket jun 23 please,0
see geological wall month,2
want buy ticket 27 jun,0
want buy ticket 05 aug,0
show stuff sun,1
think know read something think time magazine protest,3
four ticket 10 jul please,0
called christyna,4
see people severely injured badly lose control body function,3
would like hear landscape,1
see flooded forest feb 09,2
two ticket exhibition erosion,0
exhibition gravity,2
see universe room dec 22,2
want learn nature exhibition recommend,1
exhibition exploration,1
see sustainable building 28 nov,2
six ticket 13 jun,0
exhibition star,1
interesting river work,1
sp - know pull ' ve always done kid know yanked,3
six ticket 16 jan,0
want buy ticket wednesday,0
five ticket jul 20 please,0
recipe pittsburgh consisted red meat potato,3
like discus big bang,1
interested forest,1
discussing mar one favourite thing,1
see sustainable building 08 may,2
see universe room wednesday,2
see geological wall 30 jan,2
exhibition big bang,1
want buy two ticket,0
see sustainable building monday,2
like discus photographer,1
freedom choice,3
see antarctic base thursday,2
show exhibit environment,1
ticket 04 dec,0
oh oh absolutely go year year cost hundred thousand dollar taxpayer money,3
see flooded forest today,2
well kind put trap please special interest group well,3
' s matter people lazy,3
photo fascinates,1
tell consider liberal ?,3
ticket jun 06 please,0
well saw red flag represents,3
exhibition national geographic,2
artist showing,2
entirely much time spent wife wondering,3
think rock fascinating,1
could disap - gotten away lunch time,3
universe fascinates,1
jul 21,2
call anuja,4
mean leave something anywhere might well forget,3
matter interesting,1
would like learn amazon,1
know certain,3
love think climate,1
two ticket 09 mar please,0
like discus organism,1
museum open week,2
national geographic fascinates,1
three ticket flooded forest exhibition,0
ticket next thursday,0
ticket,0
five ticket friday please,0
least back hillside wild animal think probably justify,3
help something ?,4
see geological wall weekend,2
like discus technology,1
see sustainable building feb 13,2
would like go antarctic base exhibition 25 nov,0
two ticket 31 jan please,0
level defined number working adult number child,3
two ticket 01 dec please,0
related vulcanos,1
make little active television,3
well enjoyed topic hope good day,3
see flooded forest 30 jul,2
would like hear south america,1
want buy four ticket sustainable building exhibition,0
vehemently quieted n ' t think probably feel differently,3
one ticket apr 14 please,0
' m best,3
need two ticket,0
neww,4
visiting museum 25 oct part museum see,2
would like get six ticket please,0
want buy ticket exhibition animal,0
call agnieszka,4
like discus ecology,1
one ticket friday please,0
see geological wall dec 12,2
five ticket 04 dec please,0
exhibition ecosystem,2
sustainability fascinates,1
six ticket 23 may please,0
brain passion mine exhibition caixa museum cover,1
three ticket mar 24,0
love efficiency exhibition go,1
' s amazing know prior like nineteen - twenty heart attack,3
best could home,3
see antarctic base may 09,2
get three year probation,3
